Removed deepcopy for prob.calc.


         639643851 function calls (614879244 primitive calls) in 300.451 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     71/1    0.002    0.000  320.973  320.973 {built-in method builtins.exec}
      2/1    0.000    0.000  320.973  320.973 DominoGame.py:1(<module>)
      2/1    0.000    0.000  320.962  320.962 DominoGame.py:416(main)
      2/1    0.000    0.000  320.962  320.962 DominoGame.py:87(play_game)
      2/1    0.000    0.000  320.962  320.962 DominoGame.py:168(play_round)
    14/13    0.001    0.000  320.961   24.689 analytic_agent_player.py:21(next_move)
       12    0.152    0.013  320.957   26.746 analytic_agent_player.py:70(get_best_move)
    17775    0.026    0.000  288.471    0.016 domino_game_analyzer.py:590(get_best_move_alpha_beta)
15839713/17775   43.461    0.000  288.445    0.016 domino_game_analyzer.py:512(min_max_alpha_beta)
 11282262   37.118    0.000   88.925    0.000 domino_game_analyzer.py:78(play_hand)
 13403130   26.984    0.000   48.273    0.000 domino_game_analyzer.py:189(list_possible_moves)
 16385782    9.578    0.000   46.182    0.000 domino_game_analyzer.py:108(is_game_over)
  2444833   12.868    0.000   42.266    0.000 domino_game_analyzer.py:374(count_game_stats)
 16385816   11.967    0.000   36.603    0.000 {built-in method builtins.any}
     8250    0.083    0.000   31.620    0.004 domino_game_tracker.py:293(generate_sample_from_game_state)
     8250    0.979    0.000   31.495    0.004 domino_probability_calc.py:458(generate_sample)
 16226114   12.435    0.000   30.877    0.000 domino_game_analyzer.py:14(next)
    66173    5.458    0.000   28.615    0.000 domino_probability_calc.py:360(calculate_tile_probabilities)
 76723353   18.542    0.000   24.637    0.000 domino_game_analyzer.py:109(<genexpr>)
 52559087   15.899    0.000   20.862    0.000 enum.py:202(__get__)
  4943852    5.655    0.000   20.277    0.000 domino_game_analyzer.py:99(pass_turn)
  1326985    7.861    0.000   16.225    0.000 domino_probability_calc.py:138(generate_scenarios)
 16226363    7.116    0.000   12.283    0.000 enum.py:726(__call__)
 13743428    5.243    0.000   10.879    0.000 domino_game_analyzer.py:111(get_current_hand)
38223157/29378030    8.211    0.000   10.308    0.000 {built-in method builtins.hash}
  8845127    3.002    0.000   10.159    0.000 domino_game_analyzer.py:64(__hash__)
